
===== half.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 11025 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 6.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7199778 real : 0.000000 / imag : 0.000000 
0xf7199788 real : 202.567978 / imag : -113.664024 
0xf7199798 real : 0.000000 / imag : 0.000000 
0xf71997a8 real : 64.871222 / imag : -144.613564 
0xf71997b8 real : 0.000000 / imag : 0.000000 
0xf71997c8 real : -13.114710 / imag : -100.782088 
0xf71997d8 real : 0.000000 / imag : 0.000000 
0xf71997e8 real : 97.777353 / imag : 7.341118 
0xf71997f8 real : 0.000000 / imag : 0.000000 
0xf7199808 real : 165.610212 / imag : 409.066904 
0xf7199818 real : 0.000000 / imag : 0.000000 
0xf7199828 real : -32.194269 / imag : -71.704967 
0xf7199838 real : 0.000000 / imag : 0.000000 
0xf7199848 real : -72.238938 / imag : -2.312175 
0xf7199858 real : 0.000000 / imag : 0.000000 
0xf7199868 real : 9.735472 / imag : -16.196275 
0xf7199878 real : 0.000000 / imag : 0.000000 
0xf7199888 real : 95.251746 / imag : -60.744535 
0xf7199898 real : 0.000000 / imag : 0.000000 
0xf71998a8 real : -87.607694 / imag : 7.178318 
0xf71998b8 real : 0.000000 / imag : 0.000000 
0xf71998c8 real : 10.204906 / imag : 68.200561 
0xf71998d8 real : 0.000000 / imag : 0.000000 
0xf71998e8 real : -27.377121 / imag : -47.090126 
0xf71998f8 real : 0.000000 / imag : 0.000000 
0xf7199908 real : -14.682169 / imag : -254.583252 
0xf7199918 real : 0.000000 / imag : 0.000000 
0xf7199928 real : 142.031293 / imag : 4.096336 
0xf7199938 real : 0.000000 / imag : 0.000000 
0xf7199948 real : 77.803934 / imag : -117.499673 
0xf7199958 real : 0.000000 / imag : 0.000000 
0xf7199968 real : -2.413608 / imag : -62.746853 
0xf7199978 real : 0.000000 / imag : 0.000000 
0xf7199988 real : -2.637835 / imag : -68.341867 
0xf7199998 real : 0.000000 / imag : 0.000000 
0xf71999a8 real : 46.036726 / imag : -50.393317 
0xf71999b8 real : 0.000000 / imag : 0.000000 
0xf71999c8 real : 50.252264 / imag : 44.229056 
0xf71999d8 real : 0.000000 / imag : 0.000000 
0xf71999e8 real : 8.559574 / imag : 0.835138 
0xf71999f8 real : 0.000000 / imag : 0.000000 
0xf7199a08 real : -28.052104 / imag : -504.125493 
0xf7199a18 real : 0.000000 / imag : 0.000000 
0xf7199a28 real : 100.443453 / imag : 15.856299 
0xf7199a38 real : 0.000000 / imag : 0.000000 
0xf7199a48 real : 49.428621 / imag : -67.120095 
0xf7199a58 real : 0.000000 / imag : 0.000000 
0xf7199a68 real : 15.658366 / imag : -117.612353 
0xf7199a78 real : 0.000000 / imag : 0.000000 
0xf7199a88 real : 6.325295 / imag : -86.117735 
0xf7199a98 real : 0.000000 / imag : 0.000000 
0xf7199aa8 real : 154.107229 / imag : -99.197656 
0xf7199ab8 real : 0.000000 / imag : 0.000000 
0xf7199ac8 real : 24.814470 / imag : -11.971037 
0xf7199ad8 real : 0.000000 / imag : 0.000000 
0xf7199ae8 real : -60.602638 / imag : -54.138143 
0xf7199af8 real : 0.000000 / imag : 0.000000 
0xf7199b08 real : 297.689953 / imag : 127.589162 
0xf7199b18 real : 0.000000 / imag : 0.000000 
0xf7199b28 real : -247.351025 / imag : -16.224259 
0xf7199b38 real : 0.000000 / imag : 0.000000 
0xf7199b48 real : 42.723224 / imag : -87.358687 
0xf7199b58 real : 0.000000 / imag : 0.000000 
0xf7199b68 real : 49.308768 / imag : 90.596697 
0xf7199b78 real : 0.000000 / imag : 0.000000 
0xf7199b88 real : 86.439454 / imag : -71.920975 
0xf7199b98 real : 0.000000 / imag : 0.000000 
0xf7199ba8 real : -54.446264 / imag : 86.216921 
0xf7199bb8 real : 0.000000 / imag : 0.000000 
0xf7199bc8 real : 47.276860 / imag : 9.305318 
0xf7199bd8 real : 0.000000 / imag : 0.000000 
0xf7199be8 real : 97.341677 / imag : 17.138916 
0xf7199bf8 real : 0.000000 / imag : 0.000000 
0xf7199c08 real : -306.368952 / imag : -2385.458940 
0xf7199c18 real : 0.000000 / imag : 0.000000 
0xf7199c28 real : 95.284996 / imag : 26.834721 
0xf7199c38 real : 0.000000 / imag : 0.000000 
0xf7199c48 real : 75.776397 / imag : -79.580842 
0xf7199c58 real : 0.000000 / imag : 0.000000 
0xf7199c68 real : 10.116336 / imag : -21.273091 
0xf7199c78 real : 0.000000 / imag : 0.000000 
0xf7199c88 real : 19.184016 / imag : -90.613467 
0xf7199c98 real : 0.000000 / imag : 0.000000 
0xf7199ca8 real : -13.727009 / imag : -8.703119 
0xf7199cb8 real : 0.000000 / imag : 0.000000 
0xf7199cc8 real : 20.656288 / imag : 141.447507 
0xf7199cd8 real : 0.000000 / imag : 0.000000 
0xf7199ce8 real : 51.947914 / imag : 44.844229 
0xf7199cf8 real : 0.000000 / imag : 0.000000 
0xf7199d08 real : -6.830721 / imag : -196.021550 
0xf7199d18 real : 0.000000 / imag : 0.000000 
0xf7199d28 real : 272.352874 / imag : 6.075553 
0xf7199d38 real : 0.000000 / imag : 0.000000 
0xf7199d48 real : 82.934297 / imag : -144.434111 
0xf7199d58 real : 0.000000 / imag : 0.000000 
0xf7199d68 real : 1.949905 / imag : -22.522583 
0xf7199d78 real : 0.000000 / imag : 0.000000 
0xf7199d88 real : 16.613766 / imag : -60.099867 
0xf7199d98 real : 0.000000 / imag : 0.000000 
0xf7199da8 real : -118.771043 / imag : 137.365113 
0xf7199db8 real : 0.000000 / imag : 0.000000 
0xf7199dc8 real : 26.720157 / imag : -18.294829 
0xf7199dd8 real : 0.000000 / imag : 0.000000 
0xf7199de8 real : 52.317766 / imag : 15.815223 
0xf7199df8 real : 0.000000 / imag : 0.000000 
0xf7199e08 real : 5.547228 / imag : -291.574884 
0xf7199e18 real : 0.000000 / imag : 0.000000 
0xf7199e28 real : -26.589029 / imag : -40.714503 
0xf7199e38 real : 0.000000 / imag : 0.000000 
0xf7199e48 real : 88.457249 / imag : -110.379726 
0xf7199e58 real : 0.000000 / imag : 0.000000 
0xf7199e68 real : 9.835683 / imag : 67.482176 
0xf7199e78 real : 0.000000 / imag : 0.000000 
0xf7199e88 real : 37.679534 / imag : -69.948042 
0xf7199e98 real : 0.000000 / imag : 0.000000 
0xf7199ea8 real : 12.293281 / imag : -18.006934 
