
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7213c58 real : 0.000000 / imag : 0.000000 
0xf7213c68 real : 343.296675 / imag : -118.060785 
0xf7213c78 real : 0.000000 / imag : 0.000000 
0xf7213c88 real : 276.042171 / imag : -1506.351436 
0xf7213c98 real : 0.000000 / imag : 0.000000 
0xf7213ca8 real : 380.406563 / imag : -209.581716 
0xf7213cb8 real : 0.000000 / imag : 0.000000 
0xf7213cc8 real : 345.437986 / imag : -460.647886 
0xf7213cd8 real : 0.000000 / imag : 0.000000 
0xf7213ce8 real : 372.916608 / imag : 4.281071 
0xf7213cf8 real : 0.000000 / imag : 0.000000 
0xf7213d08 real : 285.297936 / imag : -2682.109613 
0xf7213d18 real : 0.000000 / imag : 0.000000 
0xf7213d28 real : 365.940443 / imag : -243.572597 
0xf7213d38 real : 0.000000 / imag : 0.000000 
0xf7213d48 real : 349.079809 / imag : -590.998021 
0xf7213d58 real : 0.000000 / imag : 0.000000 
0xf7213d68 real : 317.448991 / imag : -146.183562 
0xf7213d78 real : 0.000000 / imag : 0.000000 
0xf7213d88 real : 265.709804 / imag : -1003.065975 
0xf7213d98 real : 0.000000 / imag : 0.000000 
0xf7213da8 real : 370.512280 / imag : -182.765947 
0xf7213db8 real : 0.000000 / imag : 0.000000 
0xf7213dc8 real : 329.633859 / imag : -407.191724 
0xf7213dd8 real : 0.000000 / imag : 0.000000 
0xf7213de8 real : 291.282875 / imag : -8.628403 
0xf7213df8 real : 0.000000 / imag : 0.000000 
0xf7213e08 real : 190.331035 / imag : -4474.198935 
0xf7213e18 real : 0.000000 / imag : 0.000000 
0xf7213e28 real : 367.827117 / imag : -265.812812 
0xf7213e38 real : 0.000000 / imag : 0.000000 
